id,menu_access/id,menu_access/name
oscg_vendor.IAC_buyer_groups,oscg_po.menu_po,Purchase Order
,oscg_po.menu_po_view,Purchase Order
,oscg_po.menu_po_view_form,PO New List
,oscg_po.iac_purchase_order_change_view_form,PO Change List
,oscg_po.menu_wizard_iac_purchase_order,PO Change Singly
,oscg_po.menu_mass_wizard_iac_purchase_order,PO Change Mass
,oscg_po.menu_po_logs_view,Logs
,oscg_po.menu_po_setting_view,Setting
,oscg_po.menu_iac_currency_exchange_list,Currency Exchange
,,
oscg_vendor.IAC_vendor_groups,oscg_po.menu_po,Purchase Order
,oscg_po.menu_po_view,Purchase Order
,oscg_po.menu_po_vendor_confirm,Vendor Confirm
,,
,,
,,
oscg_vendor.IAC_buyer_groups,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_iac_asn_buyer,MM Create
,oscg_rfq.menu_iac_asn_buyer_change,Modify LG Data
,oscg_rfq.menu_iac_asn_buyer_cancel,MM Cancel
,,
oscg_vendor.IAC_vendor_groups,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_view,ASN
,oscg_rfq.menu_iac_asn_all,ASN List
,oscg_rfq.menu_iac_asn_vendor_create,Vendor Create
,oscg_rfq.menu_iac_asn_vendor_cancel,Vendor Cancel
,,
oscg_vendor.group_ASN_rule,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_asn_kakong,Max ASN
,oscg_rfq.menu_iac_asn_jitrule,Maintain Rule
,oscg_rfq.menu_iac_jitrule_upload,Import Rule
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_warehouse,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_asn_kakong,Max ASN
,oscg_rfq.menu_iac_asn_maxqty,Increase Max Qty
,oscg_rfq.menu_iac_asn_maxqty_import,Batch Increase Max Qty
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_ASN_ctrl,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_asn_kakong,Max ASN
,oscg_rfq.menu_iac_asn_maxqty,Increase Max Qty
,oscg_rfq.menu_iac_asn_maxqty_import,Batch Increase Max Qty
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
oscg_vendor.group_ep_administration,oscg_rfq.menu_asn_root,ASN
,oscg_rfq.menu_asn_administration,Administration
,oscg_rfq.menu_iac_asn_buy_sell,B&S ASN Job Log
,oscg_rfq.menu_iac_asn_vmi,VMI ASN Job Log
,oscg_rfq.menu_iac_asn_clean,ASN Clean Job Log
,,
oscg_vendor.IAC_CM_groups,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_import,CM Import
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_mass_line_cm,Idle: CM Maintain
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
oscg_vendor.IAC_vendor_groups,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_vendor,Vendor Confirm
,,
,,
oscg_vendor.group_ep_administration,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_01_administrator,Administration
,oscg_rfq.menu_iac_rfq_mass_variant,Idle RFQ Job Variant
,oscg_rfq.menu_iac_rfq_mass_job_log,Idle RFQ Job Log
,oscg_rfq.menu_iac_rfq_user_group,Create Autherization
,oscg_po.menu_po,Purchase Order
,oscg_po.menu_po_setting_view,Setting
,oscg_po.menu_po_approve_regular_view,Approve Rule Setting
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
oscg_vendor.IAC_buyer_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_new_vendor,New Vendor
,oscg_vendor.menu_new_vendor_reg,Registration
,oscg_vendor.menu_new_vendor_bank,Bank Info.
,oscg_vendor.menu_new_vendor_copy,Vendor Copy
oscg_vendor.IAC_vendor_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_new_vendor,New Vendor
,oscg_vendor.menu_new_vendor_reg,Registration
,oscg_vendor.menu_new_vendor_bank,Bank Info.
oscg_vendor.IAC_setsupplier_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_gsp,GV/SC/PLM
